Name;RAdeg;DEdeg;PosErr;Coord_Ref;GLON;GLAT;Xray_Type;Porb;Ppulse;Alt_Name;SpType;Vmag;e_Vmag;Gaia_DR3_ID;Gmag;e_Gmag;BP-RP;_2MASS_ID;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;WISE_ID;W1mag;e_W1mag;W2mag;e_W2mag;N_H;Min_Soft_Flux;Max_Soft_Flux;Soft_Xray_Var;Soft_Xray_Range;Min_Hard_Flux;Max_Hard_Flux;Hard_Xray_Var;Hard_Xray_Range;AG;Mean_Dist;Low_Dist;High_Dist;Incl;Mx;Mopt;B-V;E_B-V_;tMSP_Flag;Liu07_IDX;RK03_IDX;Orb_Ref;Pulse_Ref;Spect_Ref;Vmag_Ref;Gmag_Ref;JHK_Ref;WISE_Ref;N_H_Ref;AG_Ref;Dist_Ref;Mass_Ref
CXOGBS J174316.5-274537;265.8189722;-27.7603588;2.066782019516068;2010ApJS..189...37E;0.7323927295594479;1.054597416774293;;;;;F6;;;;;;;;14.831999778747559;0.02199999988079071;13.869999885559082;0.026000000536441803;13.442999839782715;0.027000000700354576;;;;;;;0.055310001235075665;0.219493;3.9684143029959875;0.2,12.0;;;;;;;;;;;;;;;;;;;2015MNRAS.448.1900W;;;2015MNRAS.448.1900W;;;;;
GC X-4;265.94169;-29.4317753;1.2668642459821338;2010ApJS..189...37E;359.3660619807168;0.08577808933369994;XT?;;;X 1740-294;;;;;;;;;;;;;;;;;;;;6.0;0.045850653827830004;546.0;11908.227133472064;3.0,10.0;;17.8;;20.0,60.0;20.905923344947734;8500.0;;;;;;;;;91.0;;;;;;;;;1978ApJ...222L..95C;1978ApJ...222L..95C;1978ApJ...222L..95C;
CXOGBS J174405.0-263159;266.0210453;-26.5331624;1.6245642857322915;2010ApJS..189...37E;1.872020281132093;1.5447673986584018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ginga 1741.2-2859;266.10583333333335;-29.0125;;2007A&A...469..807L;359.79825572317054;0.18336279163358613;;;;GRS 1741.2-2859;;;;;;;;;;;;;;;;;;;;5.0;;27.3;;3.0,10.0;;0.891;;20.0,60.0;17.421602787456443;8000.0;;;;1.4;;;;;94.0;;;;;;;;;1990ApJ...353..480M;1990ApJ...353..480M;1998A&ARv...8..279C;
IGR J17445-2747;266.12673050062;-27.76681666542;0.0005261653827457675;2022yCat.1355....0G;0.8696070952847491;0.8192643610242557;XT, XB;;;;;;;4060626256817246720;19.208336;0.003953;4.292799;17443041-2746004;12.531000137329102;0.061000000685453415;10.449000358581543;0.054999999701976776;9.651000022888184;0.05700000002980232;J174430.45-274600.6;9.055000305175781;0.017999999225139618;9.0;0.014999999664723873;5.6;1.6;32.0;20.0;0.2,12.0;0.68;39.0;57.35294117647059;20.0,40.0;19.51219512195122;5747.07471;1440.8689;10509.9932;;1.4;;;;;;;;;;;2022yCat.1355....0G;2003yCat.2246....0C;2021ApJS..253....8M;2017AstL...43..656M;2017AstL...43..656M;2018AJ....156...58B;
GRO J1744-28;266.1377916666666;-28.74080277777778;0.1;2007MNRAS.380.1511G;0.04446072757837343;0.3016282690040631;XP, DS, XT;11.834166666666667;0.467;Bursting Pulsar;G/K III;;;;;;;;18.15;0.06;15.29;0.05;13.85;0.15;;;;;;9.0;0.0411971;17100.0;415077.76032779005;0.3,10.0;;5010.0;;15.0,50.0;31.358885017421603;7500.0;7050.0;7950.0;;1.4;;;;;111.0;5.0;2007A&A...469..807L;2020A&A...643A..62D;2020A&A...643A..62D;;;2014ATel.5999....1M;;2007MNRAS.380.1511G;2007MNRAS.380.1511G;2006ApJ...647.1093N;
XMMU J174445.5-295044;266.1893353;-29.8456839;0.08401190391843288;2021ApJS..253....8M;359.1260746639563;-0.3142922443591076;XT;;;;M2 III;;;;;;;17444541-2950446;14.889;0.047;11.617;0.035;10.166;0.03;J174445.43-295044.5;9.4;0.026;9.225;0.032;5.0;0.431374;250.00000000000003;579.5435051718463;3.0,10.0;;;;;17.421602787456443;3100.0;2000.0;4900.0;;;;;;;;;;;2014MNRAS.441..640B;;;2003yCat.2246....0C;2021ApJS..253....8M;2009ApJ...701.1627H;2009ApJ...701.1627H;2014MNRAS.441..640B;
KS 1741-293;266.215169;-29.3450682;1.0040915989391666;2010ApJS..189...37E;359.5646625914453;-0.0718798394425212;XB, XT;;;;;;;;;;;;;;;;;;;;;;;17.0;0.0310047;360.0;11611.142826732721;3.0,10.0;;;;;59.23344947735192;6200.0;;8000.0;;1.4;;;;;93.0;;;;;;;;;2019ATel12843....1H;2019ATel12843....1H;2011AstL...37..597C;
XMM J174457-2850.3;266.2393892;-28.8391059;1.0140000109136462;2010ApJS..189...37E;0.00717878975577334;0.17434293439820234;XT, XB;0.07083333333333333;5.2521;;;;;;;;;;;;;;;;;;;;;11.0;0.0030332051105353003;38.5392;12705.767857947003;0.2,12.0;;;;;38.32752613240418;6500.0;;;;1.4;;;;;;;2021MNRAS.507..330S;2005MNRAS.357.1211S;;;;;;2016ATel.9551....1D;2016ATel.9551....1D;2014ApJ...792..109D;
GRS 1741.9-2853;266.2596838;-28.913859;1.0069200739427326;2010ApJS..189...37E;359.95270432532556;0.12015442162533342;XB, XT;;0.001697792869269949;AX J1745.0-2855;;;;;;;;;;;;;;;;;;;;6.6;0.038583200000000005;200.749;5203.015820357046;3.0,10.0;4.16;40.8979984998703;9.831249639391897;17.0,60.0;22.996515679442506;7800.0;5500.0;9500.0;15.0;1.4;;;;;95.0;;;2017ApJ...850..106P;;;;;;2021ApJ...918....9P;2021ApJ...918....9P;2021ApJ...918....9P;
